episode_steps,scores
768,14.853492742872666
769,14.21566711747553
770,18.0385249251121
771,-8.412091993779255
772,1.5617390443554464
773,30.049372290416567
774,17.036833415024258
775,-11.622914080691507
776,10.316322460231182
777,-41.601761401213146
778,36.141300389334965
779,-13.521301299929403
780,29.043520489505443
781,-15.565623266516159
782,-79.77978651786664
783,36.179241956253136
784,13.41072164912958
785,-17.862413745868608
786,6.142511914492569
787,45.68171533869167
788,-37.551377671716104
789,-37.28154498019103
790,14.919261449204177
791,27.857833041704676
792,14.928007582464259
793,31.743294165833255
794,-11.843387768691818
795,19.66260554427532
796,38.24390959193099
797,33.69009023870413
798,14.736114997686887
799,40.878762851218504
800,-79.90568015424721
801,45.74358045374603
802,-11.727358321353773
803,-49.81528233031824
804,-64.28530048688714
805,14.283678213863501
806,12.905941617544437
807,-88.41020910322482
808,47.00183862211665
809,11.30774989880276
810,-57.59415617110061
811,-18.57085655633658
812,-48.08696815157292
813,29.283930879643155
814,-69.59647653864131
815,17.846833048314377
816,-9.315800309745239
817,7.317723953574011
818,25.921934093320363
819,-6.3236473299136495
820,-4.312749467687378
821,-131.59418427312107
822,13.284439799995072
823,-34.303196502058306
824,-10.44201206418582
825,16.159847944917374
826,-134.88354879183922
827,-0.05269807650093039
828,-97.5858457836331
829,-66.41491727889466
830,-152.9720640201373
831,-24.901775966075547
832,-37.845449649290714
833,19.12438689985217
834,-17.917918291147057
835,-6.019712437361053
836,-6.813550479228489
837,-24.33499787462435
838,-128.1980400602113
839,-53.14298299068767
840,-551.634013743932
841,-5.228078000931264
842,-64.56831960144281
843,-105.65542967290153
844,-11.308507933296491
845,-89.92837871801326
846,22.818297848664102
847,-46.448234068273024
848,-55.23949909614105
849,-33.14424732139556
850,-37.39497273134017
851,37.418751851435594
852,36.70814556842836
853,-32.64573498721043
854,-26.085096589197814
855,-52.8096103744258
856,45.043457952023815
857,-29.0336889072277
858,-17.450785866749317
859,0.21726612238367293
860,-1.8511381143702152
861,-21.40479502747276
862,14.539227139019575
863,49.32398524805062
864,-33.07560216652644
865,41.519185444483355
866,-9.980803083492775
867,23.374733229239936
868,-10.115005250679603
869,-19.63417527874112
870,18.162114532236604
871,-5.631556450999737
872,24.512012467865148
873,-2.2514778107469002
874,-14.074374650806591
875,-13.257650631250906
876,31.919646552800895
877,10.284684551404872
878,31.620913263461212
879,-21.427817591336986
880,-21.89369584713043
881,4.321699883382822
882,12.932352378100784
883,-4.847047683347158
884,-1.3297791638454721
885,0.9730397700249704
886,-172.67445282938058
887,-14.698206157216735
888,3.2709131865279275
889,23.407947009035606
890,-80.90559508679175
891,-23.715734141096647
892,7.300287870816273
893,-58.09131149250732
894,-43.52520605898056
895,-198.63533566470971
896,-5.9756095250036685
897,9.36519162761741
898,25.198544884792895
899,-113.26117695645176
900,25.108137723134522
901,12.857076227347504
902,25.503290138623477
903,23.974482186398053
904,12.265572203421877
905,13.221535844471829
906,11.373642675585911
907,-11.236523600923038
908,24.774059526855673
909,7.693479882405799
910,31.01496525416796
911,28.849402786889197
912,33.873657346868484
913,32.17581392236935
914,23.655084095506957
915,23.26847310228963
916,-15.748567415315737
917,16.70734285331077
918,14.083104162253694
919,18.411258111597377
920,30.66397817731776
921,17.728198112853086
922,14.361982620270728
923,20.042065866882012
924,41.63399249675769
925,34.620436683152654
926,-4.610257859729588
927,21.331363840659286
928,5.691244078358822
929,-3.8594190884736497
930,18.761581162942257
931,22.505269546046303
932,30.27853334087665
933,-10.25433463161311
934,15.156090971386897
935,9.058018149409943
936,-28.775366762210936
937,17.231614470627328
938,-4.222853743569951
939,23.38484972369223
940,22.653092834326408
941,-5.187754627868442
942,19.174307115815413
943,24.86159359824212
944,26.78964866749641
945,-8.644640505435111
946,14.786057997639624
947,13.251177045528623
948,0.8314510224162854
949,-18.900003735593877
950,13.703481371024111
951,-3.811436337513605
952,3.8823254307748805
953,1.1544007534481067
954,33.820785093523405
955,-18.921333629818196
956,45.434451172067135
957,16.943301059165147
958,15.485931701791616
959,6.706081969335857
960,4.088097070837946
961,25.916042118433484
962,-3.4450563713219298
963,34.77632865770853
964,3.6004050353975128
965,19.860777564991615
966,-20.433441309788343
967,18.440170782008074
968,24.199370805433144
969,59.21846603193675
970,46.16326357671072
971,22.34851767204894
972,-0.5555277304188815
973,8.690717457758666
974,-7.806403846839192
975,-8.880792318523111
976,28.978929804829573
977,35.33558653548635
978,10.876270667521274
979,34.08894374318793
980,8.120683502676286
981,-5.109097714386374
982,46.70184401958681
983,40.878299853858465
984,3.8188888983028946
985,5.456251370219792
986,14.46704276068265
987,24.916877856526078
988,-5.11709358407222
989,19.901639964833088
990,2.556732784004266
991,21.51369910452485
992,22.93304886304701
993,6.223649801338029
994,14.955586507414916
995,20.300901777527915
996,-10.86350108776021
997,-7.059536161104567
998,38.90548319274269
999,17.921836148182745
1000,14.238745132720156
1001,23.412909603825554
1002,-3.4819169138772565
1003,9.703786147020464
1004,24.34510830297235
1005,14.783414212415256
1006,11.38015608035103
1007,10.122673525125244
1008,30.13232020203556
1009,13.818086297817409
1010,17.504963348845973
1011,-11.372647314003423
1012,37.1533688333744
1013,-1.5644825345701274
1014,9.93785186023036
1015,-16.297295859045583
1016,8.1453369141986
1017,-3.404342065459926
1018,-9.730774403777692
1019,8.477940273904142
1020,35.4086158591468
1021,-7.498762759841049
1022,-3.276209340294799
1023,18.462934943549957
1024,-11.858159832720716
1025,28.717174677414576
1026,20.09275602186737
1027,18.13120960607663
1028,27.029573525942755
1029,-10.15869884062919
1030,15.776920712891936
1031,-8.98399312713847
1032,-17.09684865283818
1033,-5.550602492310925
1034,-1.6529021298737316
1035,-4.4492453563306675
1036,8.169445409356703
1037,12.028307351279965
1038,18.681596420934074
1039,21.98782443077196
1040,-26.107643363451828
1041,2.704776418567475
1042,-9.647236900010503
1043,-0.345318500328881
1044,-12.3327666786863
1045,29.978426409616564
1046,-33.42192278819286
1047,-28.22817574518639
1048,-30.609954087747372
1049,-35.993834118676
1050,-12.368225536957572
1051,26.17285455085243
1052,-4.980174299122963
1053,-23.731928087863388
1054,-11.985039029418823
1055,-5.380369443880876
1056,38.30631509034911
1057,-31.955595149844235
1058,4.931203549294915
1059,-8.255239775817309
1060,11.242195528729482
1061,1.1797614820797955
1062,-0.41152687397698884
1063,-11.094467403826572
1064,37.15483946489648
1065,-17.605579226729922
1066,-10.921140820317568
1067,9.118165356492895
1068,-1.1196760324820463
1069,12.819622341932199
1070,-17.34462777831773
1071,-17.16911583290996
1072,-18.944729257666427
1073,6.515071951029586
1074,-10.758677171884619
1075,-11.429151425964726
1076,-18.633640428660836
1077,-15.428427286482648
1078,27.517308845103724
1079,8.75323085898545
1080,0.24540936044532186
1081,-21.771003405333378
1082,14.309795734643943
1083,-18.336104723231422
1084,-16.79567463546885
1085,10.908988591619915
1086,-5.2900825312512
1087,-4.367720655690641
1088,38.01637296104764
1089,24.12861400913481
1090,-25.26329362450972
1091,-26.498692059332857
1092,-30.831472919862318
1093,13.58752908813483
1094,10.861561690697904
1095,9.819673174424821
1096,5.647174595743045
1097,-7.607090664016682
